ID de Filme,T+AO0-tulo,Ano de Lan+AOc-amento,G+AOo-nero 1,G+AOo-nero 2,Classifica+AOcA4w-o,Dura+AOcA4w-o,Diretor,Diretor Ganhou Oscar ?,Pa+AO0-s de Origem,Or+AOc-amento (+ACQ-),Ator Principal,Ator Principal Ganhou Oscar,Avalia+AOcA4w-o IMDB,Filme Ganhou Oscar
1,Toy Story,1995,Animation,Family,Livre,81,John Lasseter,Nao,USA,30000000,Tom Hanks,Sim,8.3,Nao
2,Jumanji,1995,Family,Adventure,12,104,Joe Johnston,Nao,USA,50000000,Robin Williams,Sim,6.9,Nao
3,Grumpier Old Men,1995,Comedy,Romance,Rated PG+AC0-13 for salty language and innuendos,101,Howard Deutch,Nao,USA,25000000,Walter Matthau,Sim,6.6,Nao
6,Heat,1995,Action,Crime,14,170,Michael Mann,Nao,USA,60000000,Al Pacino,Sim,8.2,Nao
7,Sabrina,1995,Comedy,Romance,Rated PG for some mild language,127,Sydney Pollack,Sim,Germany,58000000,Harrison Ford,Nao,6.3,Nao
10,GoldenEye,1995,Action,Adventure,12,130,Martin Campbell,Nao,UK,60000000,Pierce Brosnan,Nao,7.2,Nao
11,American President,1995,Drama,Romance,Rated PG+AC0-13 for some strong language,114,Rob Reiner,Nao,USA,62000000,Michael Douglas,Sim,6.8,Nao
16,Casino,1995,Drama,Thriller,18,178,Martin Scorsese,Sim,France,52000000,Robert De Niro,Sim,8.2,Nao
17,Sense and Sensibility,1995,Drama,Romance,Livre,136,Ang Lee,Sim,USA,16000000,Emma Thompson,Sim,7.7,Sim
21,Get Shorty,1995,Drama,Action,Rated R for language and some violence,105,Barry Sonnenfeld,Nao,USA,30250000,Gene Hackman,Sim,6.9,Nao
24,Powder,1995,Drama,Sci+AC0-Fi,14,111,Victor Salva,Nao,USA,9500000,Mary Steenburgen,Sim,6.5,Nao
25,Leaving Las Vegas,1995,Drama,Romance,16,111,Mike Figgis,Nao,USA,3600000,Nicolas Cage,Sim,7.6,Sim
28,Persuasion,1995,Romance,?,?,80,Charles Herman+AC0-Wurmfeld,Nao,USA,?,Boa,Nao,5.3,Nao
29,City of Lost Children,1995,Sci+AC0-Fi,Adventure,12,112,Marc Caro,Nao,France,18000000,Ron Perlman,Nao,7.7,Nao
30,Shanghai Triad,1995,Drama,?,Rated R for some language and images of violence,108,Yimou Zhang,Nao,France,?,Li Gong,Nao,7.2,Nao
32,Twelve Monkeys,1995,Drama,Sci+AC0-Fi,14,129,Terry Gilliam,Nao,USA,29000001,Bruce Willis,Nao,8.0,Nao
34,Babe,1995,Family,Comedy,Livre,91,Chris Noonan,Nao,Australia,30000000,James Cromwell,Nao,6.8,Sim
36,Dead Man Walking,1995,Drama,?,14,122,Tim Robbins,Nao,UK,11000000,Susan Sarandon,Sim,7.6,Sim
39,Clueless,1995,Comedy,Romance,12,97,Amy Heckerling,Nao,USA,12000000,Alicia Silverstone,Nao,6.8,Nao
40,Cry,1995,Drama,?,Rated PG+AC0-13 for emotional thematic elements and brief language,106,Darrell Roodt (as Darrell James Roodt),Nao,South Africa,?,Richard Harris,Nao,6.9,Nao
41,Richard III,1995,Drama,War,Rated R for violence and sexuality,104,Richard Loncraine,Nao,UK,?,Ian McKellen,Nao,7.5,Nao
42,Dead Presidents,1995,Drama,Action,Rated R for strong graphic violencelanguagea sex scene and some drug use,119,Albert Hughes (as The Hughes Brothers),Nao,USA,10000000,Larenz Tate,Nao,6.8,Nao
43,Restoration,1995,Drama,?,Rated R for sexuality,117,Michael Hoffman,Nao,USA,19000000,Robert Downey Jr.,Nao,6.7,Sim
47,Seven,1995,Thriller,Crime,14,127,David Fincher,Nao,USA,33000000,Morgan Freeman,Sim,8.6,Nao
48,Pocahontas,1995,Animation,Family,Livre,81,Mike Gabriel,Nao,USA,55000000,Mel Gibson,Nao,6.7,Sim
50,Usual Suspects,1995,Thriller,Crime,14,106,Bryan Singer,Nao,USA,6000000,Kevin Spacey,Sim,8.6,Sim
52,Mighty Aphrodite,1995,Comedy,?,Rated R for language and sex+AC0-related material,95,Woody Allen,Sim,USA,15000000,Woody Allen,Nao,7.1,Sim
58,Postino,1994,Drama,Romance,Rated PG for mild thematic elements,108,Michael Radford,Nao,Italy,3000000,Massimo Troisi,Nao,7.7,Sim
62,Mr. Holland's Opus,1995,Drama,?,Rated PG for mild language,143,Stephen Herek,Nao,USA,23000000,Richard Dreyfuss,Sim,7.3,Nao
65,Bio+AC0-Dome,1996,Comedy,?,Rated PG+AC0-13 for crude language sex+AC0-related material and some drug content,88,Jason Bloom,Nao,USA,15000000,Pauly Shore,Nao,4.4,Nao
70,From Dusk Till Dawn,1996,Horror,Comedy,18,108,Robert Rodriguez,Nao,USA,19000000,Harvey Keitel,Nao,7.3,Nao
71,Fair Game,1995,Action,?,Rated R for intermittent strong violence language and a scene of sexuality,91,Andrew Sipes,Nao,USA,50000000,William Baldwin,Nao,4.1,Nao
73,Miserables,1995,Drama,Musical,Rated R for violencebrief language and sexuality,175,Claude Lelouch,Nao,France,?,Jean+AC0-Paul Belmondo,Nao,7.5,Nao
76,Screamers,1995,Sci+AC0-Fi,Thriller,Rated R for sci+AC0-fi violence and terror some language and a brief moment of nudity,108,Christian Duguay,Nao,Canada,20000000,Peter Weller,Nao,6.4,Nao
78,Crossing Guard,1995,Drama,?,14,111,Sean Penn,Nao,USA,?,Jack Nicholson,Sim,6.3,Nao
79,Juror,1996,Drama,Thriller,Rated R for violencelanguage and sexuality,118,Brian Gibson,Nao,USA,44000000,Demi Moore,Nao,5.6,Nao
81,Things to Do in Denver when You're Dead,1995,Drama,Romance,Rated R for strong graphic violence and language and for brief images of a sex film,115,Gary Fleder,Nao,USA,7000000,Andy Garcia,Nao,6.8,Nao
82,Antonia's Line,1995,Drama,?,Rated R for strong sexual contentand for some violenceincluding a rape scene,102,Marleen Gorris,Nao,Netherlands,?,Willeke van Ammelrooy,Nao,7.5,Sim
85,Angels and Insects,1995,Drama,Romance,Rated R for strong sexuality and graphic nudity,116,Philip Haas,Nao,UK,?,Mark Rylance,Sim,7.0,Nao
88,Black Sheep,1996,Comedy,?,Rated PG+AC0-13 for crude language and humordrug+AC0-related material and sexual innuendo,87,Penelope Spheeris,Nao,USA,?,Chris Farley,Nao,6.2,Nao
94,Beautiful Girls,1996,Drama,?,Rated R for strong language and nude pin+AC0-ups,112,Ted Demme,Nao,USA,?,Matt Dillon,Nao,7.2,Nao
95,Broken Arrow,1996,Action,Thriller,12,108,John Woo,Nao,USA,50000000,John Travolta,Nao,6.0,Nao
100,City Hall,1996,Drama,Thriller,Rated R for language and some violence,111,Harold Becker,Nao,USA,40000000,Al Pacino,Sim,6.2,Nao
104,Happy Gilmore,1996,Comedy,?,Rated PG+AC0-13 for language and some comic sexuality,92,Dennis Dugan,Nao,USA,12000000,Adam Sandler,Nao,7.0,Nao
105,Bridges of Madison County,1995,Drama,Romance,12,135,Clint Eastwood,Sim,USA,24000000,Clint Eastwood,Nao,7.5,Nao
107,Muppet Treasure Island,1996,Family,Adventure,?,99,Brian Henson,Nao,USA,?,Tim Curry,Nao,6.9,Nao
110,Braveheart,1995,Drama,War,16,178,Mel Gibson,Sim,USA,72000000,Mel Gibson,Nao,8.4,Sim
111,Taxi Driver,1976,Drama,Thriller,14,113,Martin Scorsese,Sim,USA,1300000,Robert De Niro,Sim,8.3,Nao
112,Rumble in the Bronx,1995,Action,Crime,14,104,Stanley Tong,Nao,Hong Kong,7500000,Jackie Chan,Nao,6.7,Nao
122,Boomerang,1992,Comedy,Romance,Rated R for language and sexuality,117,Reginald Hudlin,Nao,USA,40000000,Eddie Murphy,Nao,5.4,Nao
124,Star Maker,1995,Drama,?,Rated R for some strong sexualitylanguage and a brutal beating,113,Giuseppe Tornatore,Nao,Italy,?,Sergio Castellitto,Nao,7.3,Nao
132,Jade,1995,Thriller,?,Rated R for grisly afterviews of murder victimsviolencelanguage and strong scenes of aberrant sexuality,95,William Friedkin,Sim,USA,50000000,David Caruso,Nao,5.2,Nao
141,Birdcage,1996,Comedy,?,14,117,Mike Nichols,Sim,USA,31000000,Robin Williams,Sim,7.0,Nao
145,Bad Boys,1995,Action,?,14,119,Michael Bay,Nao,USA,19000000,Will Smith,Nao,6.8,Nao
150,Apollo 13,1995,Drama,?,Rated PG for language and emotional intensity,140,Ron Howard,Sim,USA,52000000,Tom Hanks,Sim,7.6,Sim
151,Rob Roy,1995,Drama,Romance,Rated R for violence and sexuality,139,Michael Caton+AC0-Jones,Nao,USA,28000000,Liam Neeson,Nao,6.9,Nao
153,Batman Forever,1995,Comedy,Action,10,121,Joel Schumacher,Nao,USA,100000000,Val Kilmer,Nao,5.4,Nao
154,Belle de jour,1967,Drama,?,R,100,Luis Bunuel,Nao,France,?,Catherine Deneuve,Nao,7.8,Nao
161,Crimson Tide,1995,Drama,War,Rated R for strong language,116,Tony Scott,Nao,USA,53000000,Gene Hackman,Sim,7.3,Nao
162,Crumb,1994,Documentary,?,Rated R for graphic sex+AC0-related cartoonsand for language,119,Terry Zwigoff,Nao,USA,?,Robert Crumb,Nao,8.0,Nao
163,Desperado,1995,Action,Romance,14,104,Robert Rodriguez,Nao,USA,7000000,Antonio Banderas,Nao,7.2,Nao
164,Devil in a Blue Dress,1995,Thriller,Mystery,16,102,Carl Franklin,Nao,USA,27000000,Denzel Washington,Sim,6.7,Nao
165,Die Hard: With a Vengeance,1995,Action,Thriller,14,128,John McTiernan,Nao,USA,90000000,Bruce Willis,Nao,7.6,Nao
168,First Knight,1995,Drama,Romance,Rated PG+AC0-13 for some brutal medieval battles,134,Jerry Zucker,Nao,USA,55000000,Sean Connery,Sim,5.9,Nao
172,Johnny Mnemonic,1995,Sci+AC0-Fi,Action,Rated R for strong sci+AC0-fi violenceand for language,96,Robert Longo,Nao,Canada,25000000,Keanu Reeves,Nao,5.6,Nao
173,Judge Dredd,1995,Sci+AC0-Fi,Action,16,96,Danny Cannon,Nao,USA,70000000,Sylvester Stallone,Nao,5.5,Nao
175,Kids,1995,Drama,?,?,91,Larry Clark,Nao,USA,1500000,Leo Fitzpatrick,Nao,7.0,Nao
176,Living in Oblivion,1995,Comedy,?,Rated R for strong language,90,Tom DiCillo,Nao,USA,500000,Steve Buscemi,Nao,7.6,Nao
180,Mallrats,1995,Comedy,?,12,94,Kevin Smith,Nao,USA,6000000,Shannen Doherty,Nao,7.2,Nao
182,Moonlight and Valentino,1995,Drama,Romance,12,105,David Anspaugh,Nao,UK,?,Elizabeth Perkins,Nao,5.8,Nao
185,Net,1995,Sci+AC0-Fi,Thriller,Rated PG+AC0-13 for violence some sexuality and brief strong language,114,Irwin Winkler,Nao,USA,22000000,Sandra Bullock,Sim,5.9,Nao
194,Smoke,1995,Drama,?,Rated R for language,112,Wayne Wang,Nao,Germany,7000000,Harvey Keitel,Nao,7.4,Nao
196,Species,1995,Horror,Sci+AC0-Fi,14,108,Roger Donaldson,Nao,USA,35000000,Natasha Henstridge,Nao,5.8,Nao
198,Strange Days,1995,Sci+AC0-Fi,Action,14,145,Kathryn Bigelow,Sim,USA,42000000,Ralph Fiennes,Nao,7.2,Nao
199,Umbrellas of Cherbourg,1964,Drama,Musical,?,91,Jacques Demy,Nao,France,?,Catherine Deneuve,Nao,7.8,Nao
202,Total Eclipse,1995,Drama,Romance,Rated R for strong sexuality and nuditylanguageand some startling violence,111,Agnieszka Holland,Nao,UK,8000000,Leonardo DiCaprio,Sim,6.6,Nao
