ID de Usuario,Sensor Semana,Sensor Companhia,Sensor Sofa,Sensor Horario,Sensor Luminosidade,Sensor Temperatura,Sensor Televisao,Assistiria Filme?
1,dia da semana,sozinho,nao esta sentado,noite,escura,fria,desligada,nao
1,final de semana,acompanhado,nao esta sentado,madrugada,escura,com temperatura moderada,desligada,nao
1,dia da semana,acompanhado,sentado,manha,iluminada,quente,ligada,nao
1,dia da semana,sozinho,sentado,madrugada,iluminada,quente,desligada,sim
1,dia da semana,sozinho,nao esta sentado,manha,escura,com temperatura moderada,desligada,nao
1,final de semana,sozinho,nao esta sentado,tarde,iluminada,quente,ligada,nao
1,final de semana,acompanhado,nao esta sentado,manha,escura,quente,desligada,nao
1,final de semana,sozinho,sentado,tarde,escura,com temperatura moderada,desligada,nao
1,final de semana,sozinho,nao esta sentado,tarde,escura,fria,ligada,nao
1,final de semana,sozinho,sentado,madrugada,escura,com temperatura moderada,desligada,sim
1,dia da semana,sozinho,sentado,madrugada,iluminada,fria,desligada,nao
1,dia da semana,sozinho,sentado,manha,escura,com temperatura moderada,desligada,nao
1,final de semana,acompanhado,nao esta sentado,manha,iluminada,fria,ligada,n+AOM-o
1,dia da semana,sozinho,sentado,noite,iluminada,quente,ligada,sim
1,dia da semana,sozinho,sentado,noite,iluminada,com temperatura moderada,ligada,sim
1,final de semana,acompanhado,nao esta sentado,madrugada,iluminada,com temperatura moderada,desligada,nao
1,dia da semana,acompanhado,sentado,tarde,iluminada,com temperatura moderada,desligada,nao
1,dia da semana,sozinho,nao esta sentado,manha,escura,com temperatura moderada,desligada,nao
1,dia da semana,acompanhado,nao esta sentado,tarde,iluminada,com temperatura moderada,ligada,nao
1,final de semana,acompanhado,sentado,noite,escura,quente,desligada,sim
1,final de semana,sozinho,nao esta sentado,manha,iluminada,quente,desligada,nao
1,dia da semana,sozinho,sentado,noite,iluminada,quente,ligada,sim
1,final de semana,sozinho,sentado,noite,escura,fria,desligada,sim
1,dia da semana,acompanhado,sentado,madrugada,escura,fria,ligada,sim
1,dia da semana,sozinho,sentado,noite,escura,com temperatura moderada,desligada,sim
2,final de semana,sozinho,sentado,noite,escura,fria,desligada,sim
2,dia da semana,acompanhado,nao esta sentado,manha,iluminada,fria,desligada,nao
2,dia da semana,acompanhado,nao esta sentado,tarde,escura,quente,desligada,nao
