ID de Usuario,ID de Filme,MovieID,T+AO0-tulo,Ano,G+AOo-nero 1,G+AOo-nero 2,Classifica+AOcA4w-o,Dura+AOcA4w-o,Diretor,Diretor Ganhou Oscar?,Pa+AO0-s de Origem,Or+AOc-amento (+ACQ-),Ator Principal,Ator Principal Ganhou Oscar?,Avalia+AOcA4w-o IMDB,Filme Ganhou Oscar,Agradou ?
2,3068,3068,Verdict,1982,Drama,?,?,129,Sidney+AF8-Lumet,No,USA,16000000,Paul+AF8-Newman,Yes,7.8,No,Sim
2,1537,1537,Shall We Dance,1996,Comedy,?,Rated PG+AC0-13 for some sexual references and brief language,106,Peter+AF8-Chelsom,No,USA,50000000,Richard+AF8-Gere,No,6.1,No,Sim
2,2194,2194,Untouchables,1987,Drama,Action,14,119,Brian+AF8-De+AF8-Palma,No,USA,25000000,Kevin+AF8-Costner,No,7.9,Yes,Sim
2,648,648,Mission: Impossible,1996,Action,Adventure,Livre,110,Brian+AF8-De+AF8-Palma,No,USA,80000000,Tom+AF8-Cruise,No,7.1,No,Sim
2,2268,2268,Few Good Men,1992,Drama,Crime,Rated R for language,138,Rob+AF8-Reiner,No,USA,40000000,Tom+AF8-Cruise,No,7.6,No,Sim
2,2628,2628,Star Wars: Episode I +AC0- The Phantom Menace,1999,Sci+AC0-Fi,Action,Livre,136,George+AF8-Lucas,No,USA,115000000,Ewan+AF8-McGregor,No,6.5,No,N+AOM-o
2,1103,1103,Rebel Without a Cause,1955,Drama,?,14,111,Nicholas+AF8-Ray,No,USA,1500000,James+AF8-Dean,No,7.8,No,N+AOM-o
2,2916,2916,Total Recall,1990,Sci+AC0-Fi,Action,14,113,Paul+AF8-Verhoeven,No,USA,65000000,Arnold+AF8-Schwarzenegger,No,7.5,No,N+AOM-o
2,3468,3468,Hustler,1961,Drama,?,12,134,Robert+AF8-Rossen,No,USA,2000000,Paul+AF8-Newman,Yes,8.0,Yes,Sim
2,1210,1210,Star Wars: Episode VI +AC0- Return of the Jedi,1983,Sci+AC0-Fi,Action,Livre,131,Richard+AF8-Marquand,No,USA,32500000,Mark+AF8-Hamill,No,8.4,No,Sim
2,1792,1792,U.S. Marshalls,1998,Action,Thriller,14,131,Stuart+AF8-Baird,No,USA,60000000,Tommy+AF8-Lee+AF8-Jones,Yes,6.5,No,N+AOM-o
2,1687,1687,Jackal,1997,Action,Thriller,14,124,Michael+AF8-Caton+AC0-Jones,No,USA,60000000,Bruce+AF8-Willis,No,6.3,No,N+AOM-o
2,1213,1213,GoodFellas,1990,Drama,Crime,14,146,Martin+AF8-Scorsese,Yes,USA,25000000,Robert+AF8-De+AF8-Niro,Yes,8.7,Yes,N+AOM-o
2,3578,3578,Gladiator,2000,Drama,Action,14,155,Ridley+AF8-Scott,No,USA,103000000,Russell+AF8-Crowe,Yes,8.5,Yes,Sim
2,3105,3105,Awakenings,1990,Drama,?,?,121,Penny+AF8-Marshall,No,USA,?,Robert+AF8-De+AF8-Niro,Yes,7.8,No,Sim
2,434,434,Cliffhanger,1993,Action,Crime,Rated R for violence and language,112,Renny+AF8-Harlin,No,USA,70000000,Sylvester+AF8-Stallone,No,6.4,No,N+AOM-o
2,3107,3107,Backdraft,1991,Drama,Action,Rated R for language and a scene of sensuality,137,Ron+AF8-Howard,Yes,USA,75000000,Kurt+AF8-Russell,No,6.7,No,N+AOM-o
2,3108,3108,Fisher King,1991,Drama,Romance,Rated R for language and violence,137,Terry+AF8-Gilliam,No,USA,24000000,Jeff+AF8-Bridges,Yes,7.6,Yes,N+AOM-o
2,3035,3035,Mister Roberts,1955,Drama,War,?,123,John+AF8-Ford,Yes,USA,?,Henry+AF8-Fonda,Yes,7.8,Yes,Sim
2,1253,1253,Day the Earth Stood Still,1951,Drama,Sci+AC0-Fi,Livre,92,Robert+AF8-Wise,Yes,USA,1200000,Michael+AF8-Rennie,No,7.8,No,N+AOM-o
2,1610,1610,Hunt for Red October,1990,Action,Thriller,12,135,John+AF8-McTiernan,No,USA,30000000,Sean+AF8-Connery,Yes,7.6,Yes,Sim
